Alpha,Cl
0.4477357683661733,-0.0558721284867122
0.4607704521360775,-0.0551837883186037
0.4738320218785281,-0.0544512277304519
0.4869115258460634,-0.0536764566357969
0.4999999999999998,-0.0528615020005715
0.5130884741539365,-0.0520084017873851
0.5261679781214718,-0.0511191993428425
0.5392295478639224,-0.0501959382585086
0.5522642316338267,-0.0492406577295793
0.5652630961100257,-0.0482553884286466
0.5782172325201154,-0.0472421489052244
0.5911177627460736,-0.046202942514998
0.6039558454088797,-0.0451397548761643
0.6167226819279527,-0.0440545518438032
0.6294095225512604,-0.0429492779870339
0.6420076723519613,-0.0418258555478395
0.6545084971874737,-0.0406861838549376
0.6669034296168854,-0.039532139161004
0.6791839747726501,-0.0383655748669655
0.6913417161825448,-0.0371883220930155
0.7033683215379001,-0.0360021905525125
0.7152555484041474,-0.03480896968203
0.7269952498697734,-0.0336104299785611
0.7385793801298042,-0.0324083244932621
0.7499999999999999,-0.0312043904301599
0.7612492823579744,-0.0300003507979432
0.7723195175075134,-0.028797916063317
0.7832031184624165,-0.0275987857553967
0.7938926261462365,-0.0264046499722451
0.8043807145043603,-0.025217190742879
0.8146601955249186,-0.0240380832008678
0.8247240241650917,-0.0228689965289595
0.8345653031794289,-0.021711594637978
0.8441772878468771,-0.020567536547467
0.8535533905932737,-0.0194384764401692
0.8626871855061438,-0.0183260633673617
0.871572412738697,-0.0172319405872571
0.8802029828000155,-0.0161577445240594
0.8885729807284855,-0.0151051033407724
0.8966766701456177,-0.014075635124422
0.9045084971874736,-0.0130709456879078
0.9120630943110076,-0.0120926259981795
0.919335283972712,-0.0111422492457677
0.926320082177046,-0.0102213675758266
0.9330127018922194,-0.0093315085057087
0.9394085563309826,-0.008474171058622
0.945503262094184,-0.0076508216470814
0.95129264217493,-0.0068628897435895
0.9567727288213004,-0.0061117633792392
0.9619397662556434,-0.0053987845136792
0.9667902132486008,-0.0047252443220885
0.9713207455460892,-0.0040923784464475
0.9755282581475768,-0.0035013622594503
0.9794098674340964,-0.0029533061898666
0.982962913144534,-0.0024492511580229
0.9861849601988384,-0.0019901641693417
0.9890738003669028,-0.0015769341125594
0.9916274537819773,-0.0012103678073565
0.9938441702975688,-0.0008911863437026
0.9957224306869052,-0.0006200217522744
0.9972609476841368,-0.0003974140418788
0.998458666866564,-0.0002238086359573
0.9993147673772868,-9.95542359963547e-05
0.9998286624877786,-2.4901135085816926e-05
1.0,0.0
